longitude	latitude	speed
-122.66914	45.583277	0
-122.66914	45.583277	14.5
-122.670028	45.583433	22.62181818181818
-122.670028	45.583433	0
-122.670967	45.583567	14.5
-122.670967	45.583567	14.8
-122.671915	45.583682	14.8
-122.671915	45.583682	15.5
-122.672853	45.583783	23.258181818181818
-122.672853	45.583783	0
-122.673888	45.583907	15.5
-122.673888	45.583907	15
-122.674857	45.584042	15
-122.674857	45.584042	11
-122.675377	45.584267	21.62142857142857
-122.675377	45.584267	0
-122.675392	45.584917	11
-122.675392	45.584917	14.4
-122.675535	45.58556	14.4
-122.675535	45.58556	15.8
-122.676052	45.586172	17.7
-122.676052	45.586172	15.8
-122.676935	45.58663	21.557894736842105
-122.676935	45.58663	0
-122.677968	45.587015	17.7
-122.677968	45.587015	17.4
-122.678978	45.587388	17.4
-122.678978	45.587388	16.6
-122.679937	45.587712	16.6
-122.679937	45.587712	15.8
-122.68094	45.587675	15.8
-122.68094	45.587675	15.8
-122.68133	45.587058	15.8
-122.68133	45.587058	16
-122.680973	45.586375	17.7
-122.680973	45.586375	16
-122.680532	45.585665	0
-122.680532	45.585665	25.921397379912662
-122.68006	45.584907	17.7
-122.68006	45.584907	19.2
-122.679578	45.584098	19.2
-122.679578	45.584098	22.2
-122.679167	45.583173	26.719424460431654
-122.679167	45.583173	0
-122.678872	45.58215	25.1
-122.678872	45.58215	22.2
-122.678747	45.581048	27.01063829787234
-122.678747	45.581048	0
-122.678717	45.579888	25.1
-122.678717	45.579888	26.8
-122.678705	45.578673	26.7
-122.678705	45.578673	26.8
-122.678707	45.57745	0
-122.678707	45.57745	27.074468085106382
-122.678713	45.57624	26.6
-122.678713	45.57624	26.7
-122.678725	45.575035	26.6
-122.678725	45.575035	0
-122.67874	45.573822	0
-122.67874	45.573822	26.82
-122.67875	45.572602	21.557894736842105
-122.67875	45.572602	27
-122.678758	45.571383	27
-122.678758	45.571383	26.8
-122.678733	45.570165	26.8
-122.678733	45.570165	26.8
-122.678703	45.568948	0
-122.678703	45.568948	26.8
-122.678703	45.567735	0
-122.678703	45.567735	27.346938775510203
-122.678717	45.566522	21.62142857142857
-122.678717	45.566522	26.6
-122.67873	45.565303	26.6
-122.67873	45.565303	27
-122.678728	45.564088	27
-122.678728	45.564088	0
-122.6787	45.562872	0
-122.6787	45.562872	26.78
-122.678663	45.561657	33.25
-122.678663	45.561657	26.82
-122.67865	45.56044	33.25
-122.67865	45.56044	0
-122.678657	45.559227	26.78
-122.678657	45.559227	0
-122.678668	45.558012	26.8
-122.678668	45.558012	27.01063829787234
-122.678682	45.556795	26.8
-122.678682	45.556795	0
-122.678697	45.555575	26.6
-122.678697	45.555575	27.346938775510203
-122.678713	45.554358	27.074468085106382
-122.678713	45.554358	26.8
-122.678723	45.55315	26.8
-122.678723	45.55315	26.6
-122.678733	45.551935	26.6
-122.678733	45.551935	0
-122.678748	45.550722	25.918181818181818
-122.678748	45.550722	26.78
-122.678765	45.549507	26.719424460431654
-122.678765	45.549507	0
-122.678772	45.54829	25.633333333333333
-122.678772	45.54829	0
-122.67855	45.547088	0
-122.67855	45.547088	26.78
-122.677848	45.545982	25.68421052631579
-122.677848	45.545982	0
-122.676765	45.545035	0
-122.676765	45.545035	25.56
-122.676765	45.545035	0
-122.676765	45.545035	0
-122.675707	45.54417	0
-122.675707	45.54417	26.6
-122.675707	45.54417	0
-122.675707	45.54417	22.2
-122.674767	45.543402	0
-122.674767	45.543402	25.74736842105263
-122.674767	45.543402	24
-122.674767	45.543402	22.2
-122.673777	45.542578	26.1
-122.673777	45.542578	22.62181818181818
-122.673777	45.542578	24
-122.673777	45.542578	25.4
-122.672725	45.5417	25.4
-122.672725	45.5417	0
-122.672725	45.5417	25.96
-122.672725	45.5417	0
-122.671702	45.540725	25.85333333333333
-122.671702	45.540725	26.1
-122.671702	45.540725	27
-122.671702	45.540725	0
-122.670798	45.539673	26.1
-122.670798	45.539673	26.04
-122.670798	45.539673	0
-122.670798	45.539673	23.258181818181818
-122.669928	45.53862	27
-122.669928	45.53862	0
-122.669928	45.53862	0
-122.669928	45.53862	25
-122.6691	45.537618	0
-122.6691	45.537618	0
-122.6691	45.537618	0
-122.6691	45.537618	26.1
-122.668297	45.536643	25.633333333333333
-122.668297	45.536643	25
