longitude	latitude	speed
-122.42711	45.502898	2.7724137931034485
-122.42711	45.502898	0
-122.426755	45.502897	0
-122.426755	45.502897	3.117948717948718
-122.426615	45.502898	0
-122.426615	45.502898	4.954983922829582
-122.426092	45.502367	0
-122.426092	45.502367	8.733333333333333
-122.425893	45.501985	8.045977011494253
-122.425893	45.501985	0
-122.425883	45.50155	0
-122.425883	45.50155	5.533333333333333
-122.425885	45.501193	4.8
-122.425885	45.501193	8.733333333333333
-122.426035	45.501008	0
-122.426035	45.501008	4.8
-122.426558	45.501008	9.2
-122.426558	45.501008	0
-122.427153	45.501027	0
-122.427153	45.501027	9.2
-122.427665	45.501028	2
-122.427665	45.501028	2.7724137931034485
-122.427802	45.501028	2
-122.427802	45.501028	4.6
-122.427982	45.50097	4.509090909090909
-122.427982	45.50097	0
-122.428037	45.500475	0.8
-122.428037	45.500475	4.6
-122.42803	45.500435	0.8
-122.42803	45.500435	5.4
-122.428018	45.500188	0
-122.428018	45.500188	5.4
-122.428018	45.499885	4.9411764705882355
-122.428018	45.499885	5.533333333333333
-122.42802	45.499792	0
-122.42802	45.499792	7.041322314049586
-122.428005	45.499638	0
-122.428005	45.499638	7.8
-122.427873	45.499288	6.921568627450981
-122.427873	45.499288	7.8
-122.427782	45.499097	0
-122.427782	45.499097	3.117948717948718
-122.427753	45.499007	0
-122.427753	45.499007	5.671052631578948
-122.427758	45.498677	4.509090909090909
-122.427758	45.498677	0
-122.42777	45.498323	0
-122.42777	45.498323	9.704819277108435
-122.427768	45.498175	4
-122.427768	45.498175	0
-122.42783	45.498042	0
-122.42783	45.498042	4
-122.428433	45.498022	4.9411764705882355
-122.428433	45.498022	0
-122.429133	45.498047	0
-122.429133	45.498047	9.65
-122.429888	45.498055	0
-122.429888	45.498055	0
-122.430618	45.498027	6.921568627450981
-122.430618	45.498027	0
-122.431125	45.497985	0
-122.431125	45.497985	10.8
-122.648208	45.492735	10.98
-122.648208	45.492735	0
-122.648208	45.492735	0
-122.648208	45.492735	10.98
-122.648323	45.492852	0
-122.648323	45.492852	11.285714285714286
-122.648323	45.492852	0
-122.648323	45.492852	8.4
-122.648325	45.493143	0
-122.648325	45.493143	12.527272727272727
-122.648325	45.493143	9.8
-122.648325	45.493143	0
-122.648323	45.493565	9.8
-122.648323	45.493565	12.836363636363636
-122.648323	45.493565	8.4
-122.648323	45.493565	11.733333333333333
-122.431988	45.497825	12
-122.431988	45.497825	5.671052631578948
-122.648328	45.49406	13.018181818181818
-122.648328	45.49406	0
-122.648328	45.49406	12.1
-122.648328	45.49406	0
-122.432715	45.497647	12
-122.432715	45.497647	0
-122.648342	45.494592	13.66
-122.648342	45.494592	0
-122.648342	45.494592	12.9
-122.648342	45.494592	0
-122.433527	45.497447	13.2
-122.433527	45.497447	0
-122.648337	45.495157	11.733333333333333
-122.648337	45.495157	13.5
-122.648337	45.495157	12.1
-122.648337	45.495157	12.694594594594594
-122.434355	45.497303	13.8
-122.434355	45.497303	13.2
-122.648268	45.495753	0
-122.648268	45.495753	13.84
-122.648268	45.495753	13.6
-122.648268	45.495753	12.9
-122.435238	45.497232	12.16
-122.435238	45.497232	13.8
-122.648135	45.496363	0
-122.648135	45.496363	13.5
-122.648135	45.496363	11.285714285714286
-122.648135	45.496363	0
-122.43614	45.497217	0
-122.43614	45.497217	7.041322314049586
-122.648033	45.496977	0
-122.648033	45.496977	14.09
-122.648033	45.496977	13.6
-122.648033	45.496977	12.8
-122.436992	45.497205	0
-122.436992	45.497205	10.6
-122.64798	45.497597	0
-122.64798	45.497597	10.98
-122.64798	45.497597	10.98
-122.64798	45.497597	0
-122.437708	45.4972	12.3
-122.437708	45.4972	10.6
-122.438322	45.497195	11
-122.438322	45.497195	4.954983922829582
-122.648163	45.498813	14.6
-122.648163	45.498813	0
-122.648163	45.498813	13.8
-122.648163	45.498813	12.8
-122.439023	45.49719	11
-122.439023	45.49719	11.8
-122.648598	45.499355	12.527272727272727
-122.648598	45.499355	0
-122.648598	45.499355	13.1
-122.648598	45.499355	13.8
-122.439782	45.497187	0
-122.439782	45.497187	11.8
-122.649017	45.499878	14.863157894736842
-122.649017	45.499878	0
-122.649017	45.499878	0
-122.649017	45.499878	12.836363636363636
-122.440562	45.497173	12.6
-122.440562	45.497173	0
-122.649518	45.50034	13.018181818181818
-122.649518	45.50034	14
-122.649518	45.50034	0
-122.649518	45.50034	13.1
-122.441385	45.497163	12.6
-122.441385	45.497163	12.98
-122.650363	45.50047	15.16842105263158
-122.650363	45.50047	0
-122.650363	45.50047	0
-122.650363	45.50047	15.16842105263158
-122.442215	45.497162	13.189473684210526
-122.442215	45.497162	0
-122.651285	45.500588	14.4
-122.651285	45.500588	14
-122.651285	45.500588	14.4
-122.651285	45.500588	0
-122.443058	45.497158	0
-122.443058	45.497158	12.16
-122.652192	45.50077	15.43157894736842
-122.652192	45.50077	0
-122.652192	45.50077	0
-122.652192	45.50077	13.9
-122.443905	45.497153	13
-122.443905	45.497153	9.65
-122.653058	45.500962	13.7
-122.653058	45.500962	14.4
-122.653058	45.500962	14.4
-122.653058	45.500962	13.8
-122.444735	45.497155	13
-122.444735	45.497155	12.68421052631579
